model_name,feature_name,mean_abs_shap_value,mean_signed_shap_value,input_slice,sample_size,final_test_used,importance_share,rank
ao2_gradient_boosting_regressor,categorical__order_state_normalized_hunedoara,1.0910437,-1.0910437,development_inner_validation,5000,False,0.0007026944,142
ao2_gradient_boosting_regressor,categorical__order_country_normalized_irak,1.0613406,-0.79305136,development_inner_validation,5000,False,0.0006835639,143
ao2_gradient_boosting_regressor,categorical__order_season_spring,1.0558275,-1.0558275,development_inner_validation,5000,False,0.00068001315,144
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_il,1.0217466,1.0217466,development_inner_validation,5000,False,0.0006580631,145
ao2_gradient_boosting_regressor,categorical__order_state_normalized_el_beni,0.97895926,-0.97895926,development_inner_validation,5000,False,0.0006305056,146
ao2_gradient_boosting_regressor,categorical__order_state_normalized_nairobi,0.9681661,-0.9681661,development_inner_validation,5000,False,0.0006235542,147
ao2_gradient_boosting_regressor,categorical__order_state_normalized_uusimaa,0.9630922,-0.9630922,development_inner_validation,5000,False,0.00062028633,148
ao2_gradient_boosting_regressor,categorical__order_state_normalized_sajonia,0.95289415,-0.95289415,development_inner_validation,5000,False,0.0006137182,149
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_ky,0.9462715,-0.9462715,development_inner_validation,5000,False,0.00060945284,150
ao2_gradient_boosting_regressor,categorical__product_category_key_46_indoor/outdoor_games,0.9433465,0.9433465,development_inner_validation,5000,False,0.00060756895,151
ao2_gradient_boosting_regressor,categorical__customer_segment_normalized_consumer,0.9312646,-0.9312646,development_inner_validation,5000,False,0.0005997875,152
ao2_gradient_boosting_regressor,categorical__order_state_normalized_khnh_ha,0.92556965,-0.92556965,development_inner_validation,5000,False,0.0005961197,153
ao2_gradient_boosting_regressor,categorical__order_state_normalized_gales,0.92092735,-0.92092735,development_inner_validation,5000,False,0.0005931298,154
ao2_gradient_boosting_regressor,categorical__Type_DEBIT,0.88678545,-0.3174706,development_inner_validation,5000,False,0.00057114044,155
ao2_gradient_boosting_regressor,categorical__product_category_key_24_women's_apparel,0.8805952,-0.8805952,development_inner_validation,5000,False,0.00056715356,156
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chimaltenango,0.8353875,-0.8353875,development_inner_validation,5000,False,0.0005380372,157
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_nm,0.78514427,-0.78514427,development_inner_validation,5000,False,0.0005056777,158
ao2_gradient_boosting_regressor,categorical__order_state_normalized_holgun,0.74742585,-0.74742585,development_inner_validation,5000,False,0.0004813849,159
ao2_gradient_boosting_regressor,categorical__customer_country_normalized_puerto_rico,0.705744,-0.705744,development_inner_validation,5000,False,0.00045453943,160
ao2_gradient_boosting_regressor,categorical__order_state_normalized_aquitanialemosnpoitoucharentes,0.70284015,-0.58502454,development_inner_validation,5000,False,0.00045266916,161
ao2_gradient_boosting_regressor,categorical__order_state_normalized_prahova,0.66764206,-0.66764206,development_inner_validation,5000,False,0.00042999958,162
ao2_gradient_boosting_regressor,categorical__order_state_normalized_jaiber_pajtunju,0.6615434,-0.6615434,development_inner_validation,5000,False,0.00042607173,163
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chihuahua,0.6393007,-0.6393007,development_inner_validation,5000,False,0.00041174612,164
ao2_gradient_boosting_regressor,categorical__order_state_normalized_durango,0.61780787,-0.61780787,development_inner_validation,5000,False,0.00039790352,165
ao2_gradient_boosting_regressor,categorical__order_state_normalized_lara,0.58171755,-0.58171755,development_inner_validation,5000,False,0.00037465928,166
ao2_gradient_boosting_regressor,categorical__order_state_normalized_victoria,0.56966656,-0.56966656,development_inner_validation,5000,False,0.00036689776,167
ao2_gradient_boosting_regressor,categorical__order_state_normalized_pinar_del_ro,0.56956214,-0.56956214,development_inner_validation,5000,False,0.0003668305,168
ao2_gradient_boosting_regressor,categorical__order_state_normalized_misuri,0.53129214,-0.53129214,development_inner_validation,5000,False,0.00034218247,169
ao2_gradient_boosting_regressor,categorical__order_state_normalized_geldres,0.5261423,0.5261423,development_inner_validation,5000,False,0.00033886565,170
ao2_gradient_boosting_regressor,categorical__order_state_normalized_trentinoalto_adigio,0.49339312,-0.49339312,development_inner_validation,5000,False,0.00031777332,171
ao2_gradient_boosting_regressor,categorical__order_state_normalized_dakota_del_norte,0.44415092,-0.16363555,development_inner_validation,5000,False,0.00028605852,172
ao2_gradient_boosting_regressor,categorical__order_state_normalized_eskisehir,0.4308858,-0.4308858,development_inner_validation,5000,False,0.00027751504,173
ao2_gradient_boosting_regressor,categorical__order_state_normalized_pases_del_loira,0.3976247,-0.3976247,development_inner_validation,5000,False,0.000256093,174
ao2_gradient_boosting_regressor,categorical__order_state_normalized_qina,0.3680522,-0.3680522,development_inner_validation,5000,False,0.00023704662,175
ao2_gradient_boosting_regressor,categorical__order_country_normalized_irlanda,0.36667275,-0.36667275,development_inner_validation,5000,False,0.00023615817,176
ao2_gradient_boosting_regressor,categorical__order_state_normalized_bagdad,0.3477508,-0.3477508,development_inner_validation,5000,False,0.00022397136,177
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chiapas,0.3384929,-0.3384929,development_inner_validation,5000,False,0.00021800875,178
ao2_gradient_boosting_regressor,categorical__order_state_normalized_holanda_meridional,0.32378778,-0.32378778,development_inner_validation,5000,False,0.00020853781,179
ao2_gradient_boosting_regressor,categorical__order_state_normalized_pichincha,0.30188513,-0.30188513,development_inner_validation,5000,False,0.00019443125,180
ao2_gradient_boosting_regressor,categorical__order_state_normalized_analamanga,0.29229388,-0.29229388,development_inner_validation,5000,False,0.00018825394,181
ao2_gradient_boosting_regressor,binary_flags__is_standard_shipping,0.2858107,0.2858107,development_inner_validation,5000,False,0.00018407841,182
ao2_gradient_boosting_regressor,categorical__customer_country_normalized_ee_uu,0.25509018,-0.25509018,development_inner_validation,5000,False,0.00016429262,183
ao2_gradient_boosting_regressor,categorical__order_state_normalized_indiana,0.23758909,0.23758909,development_inner_validation,5000,False,0.00015302093,184
ao2_gradient_boosting_regressor,categorical__order_country_normalized_chile,0.2187071,-0.2187071,development_inner_validation,5000,False,0.00014085985,185
ao2_gradient_boosting_regressor,categorical__order_state_normalized_renania_del_nortewestfalia,0.21700308,-0.21700308,development_inner_validation,5000,False,0.00013976236,186
ao2_gradient_boosting_regressor,categorical__order_state_normalized_pekn,0.20099886,-0.20099886,development_inner_validation,5000,False,0.00012945473,187
ao2_gradient_boosting_regressor,categorical__order_state_normalized_praga,0.17158373,-0.0064029284,development_inner_validation,5000,False,0.00011050971,188
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_ga,0.16774066,-0.16774066,development_inner_validation,5000,False,0.000108034554,189
ao2_gradient_boosting_regressor,categorical__order_country_normalized_nueva_zelanda,0.16493641,-0.16493641,development_inner_validation,5000,False,0.00010622846,190
ao2_gradient_boosting_regressor,categorical__order_state_normalized_territorio_del_norte,0.14296933,-0.14296933,development_inner_validation,5000,False,9.20804e-05,191
ao2_gradient_boosting_regressor,categorical__order_country_normalized_guatemala,0.13602905,-0.13602905,development_inner_validation,5000,False,8.761047e-05,192
ao2_gradient_boosting_regressor,categorical__order_country_normalized_alemania,0.10415559,-0.10415559,development_inner_validation,5000,False,6.708215e-05,193
ao2_gradient_boosting_regressor,categorical__order_state_normalized_panam,0.099807166,-0.024107406,development_inner_validation,5000,False,6.428151e-05,194
ao2_gradient_boosting_regressor,numeric_continuous__order_year,0.081370085,0.081370085,development_inner_validation,5000,False,5.2406976e-05,195
ao2_gradient_boosting_regressor,categorical__market_normalized_pacific_asia,0.028869523,-0.028869523,development_inner_validation,5000,False,1.859362e-05,196
ao2_gradient_boosting_regressor,binary_flags__customer_zipcode_available,0.0,0.0,development_inner_validation,5000,False,0.0,197
ao2_gradient_boosting_regressor,binary_flags__order_zipcode_available,0.0,0.0,development_inner_validation,5000,False,0.0,198
ao2_gradient_boosting_regressor,binary_flags__customer_order_country_match,0.0,0.0,development_inner_validation,5000,False,0.0,199
ao2_gradient_boosting_regressor,binary_flags__customer_order_state_match,0.0,0.0,development_inner_validation,5000,False,0.0,200
ao2_gradient_boosting_regressor,binary_flags__geo_coordinates_available,0.0,0.0,development_inner_validation,5000,False,0.0,201
ao2_gradient_boosting_regressor,categorical__order_season_fall,0.0,0.0,development_inner_validation,5000,False,0.0,202
